上证指数	sh000001
MSCI中国	sh512860
杭州湾区	sh512870
证券ETF	sh512880
红利LV	sh512890
证券基金	sh512900
100ETF	sh512910
MSCI新华	sh512920
AIETF	sh512930
央企改革	sh512950
央调ETF	sh512960
传媒ETF	sh512980
MSCIA股	sh512990
225ETF	sh513000
德国30	sh513030
中概互联	sh513050
纳指ETF	sh513100
标普500	sh513500
日经ETF	sh513520
恒指ETF	sh513600
恒生通	sh513660
建信H股	sh513680
东证ETF	sh513800
日经225	sh513880
港股100	sh513900
科技ETF	sh515000
通信ETF	sh515880
黄金基金	sh518800
黄金ETF	sh518880
云化CWB1	sh580012
武钢CWB1	sh580013
深高CWB1	sh580014
上汽CWB1	sh580016
赣粤CWB1	sh580017
石化CWB1	sh580019
上港CWB1	sh580020
青啤CWB1	sh580021
国电CWB1	sh580022
康美CWB1	sh580023
宝钢CWB1	sh580024
葛洲CWB1	sh580025
江铜CWB1	sh580026
长虹CWB1	sh580027
浦发银行	sh600000
邯郸钢铁	sh600001
齐鲁石化	sh600002
ST东北高	sh600003
白云机场	sh600004
武钢股份	sh600005
东风汽车	sh600006
中国国贸	sh600007
首创股份	sh600008
上海机场	sh600009
包钢股份	sh600010
华能国际	sh600011
皖通高速	sh600012
华夏银行	sh600015
民生银行	sh600016
日照港	sh600017
上港集团	sh600018
宝钢股份	sh600019
中原高速	sh600020
上海电力	sh600021
山东钢铁	sh600022
浙能电力	sh600023
华能水电	sh600025
中远海能	sh600026
华电国际	sh600027
中国石化	sh600028
南方航空	sh600029
中信证券	sh600030
三一重工	sh600031
福建高速	sh600033
楚天高速	sh600035
招商银行	sh600036
歌华有线	sh600037
中直股份	sh600038
四川路桥	sh600039
保利地产	sh600048
中国联通	sh600050
宁波联合	sh600051
浙江广厦	sh600052
九鼎投资	sh600053
黄山旅游	sh600054
万东医疗	sh600055
中国医药	sh600056
厦门象屿	sh600057
五矿发展	sh600058
古越龙山	sh600059
海信电器	sh600060
国投资本	sh600061
华润双鹤	sh600062
皖维高新	sh600063
南京高科	sh600064
*ST联谊	sh600065
宇通客车	sh600066
冠城大通	sh600067
葛洲坝	sh600068
银鸽投资	sh600069
浙江富润	sh600070
凤凰光学	sh600071
中船科技	sh600072
上海梅林	sh600073
*ST保千	sh600074
新疆天业	sh600075
康欣新材	sh600076
宋都股份	sh600077
澄星股份	sh600078
人福医药	sh600079
金花股份	sh600080
东风科技	sh600081
海泰发展	sh600082
博信股份	sh600083
*ST中葡	sh600084
同仁堂	sh600085
东方金钰	sh600086
退市长油	sh600087
中视传媒	sh600088
特变电工	sh600089
同济堂	sh600090
ST明科	sh600091
S*ST精密	sh600092
易见股份	sh600093
大名城	sh600094
哈高科	sh600095
云天化	sh600096
开创国际	sh600097
广州发展	sh600098
林海股份	sh600099
同方股份	sh600100
明星电力	sh600101
莱钢股份	sh600102
青山纸业	sh600103
上汽集团	sh600104
永鼎股份	sh600105
重庆路桥	sh600106
美尔雅	sh600107
亚盛集团	sh600108
国金证券	sh600109
诺德股份	sh600110
北方稀土	sh600111
ST天成	sh600112
浙江东日	sh600113
东睦股份	sh600114
东方航空	sh600115
三峡水利	sh600116
西宁特钢	sh600117
中国卫星	sh600118
*ST长投	sh600119
浙江东方	sh600120
郑州煤电	sh600121
宏图高科	sh600122
兰花科创	sh600123
铁龙物流	sh600125
杭钢股份	sh600126
金健米业	sh600127
弘业股份	sh600128
太极集团	sh600129
波导股份	sh600130
岷江水电	sh600131
重庆啤酒	sh600132
东湖高新	sh600133
乐凯胶片	sh600135
当代明诚	sh600136
浪莎股份	sh600137
中青旅	sh600138
西部资源	sh600139
兴发集团	sh600141
金发科技	sh600143
*ST新亿	sh600145
商赢环球	sh600146
长春一东	sh600148
ST坊展	sh600149
中国船舶	sh600150
航天机电	sh600151
维科技术	sh600152
建发股份	sh600153
华创阳安	sh600155
华升股份	sh600156
永泰能源	sh600157
中体产业	sh600158
大龙地产	sh600159
巨化股份	sh600160
天坛生物	sh600161
香江控股	sh600162
中闽能源	sh600163
新日恒力	sh600165
福田汽车	sh600166
联美控股	sh600167
武汉控股	sh600168
太原重工	sh600169
上海建工	sh600170
上海贝岭	sh600171
黄河旋风	sh600172
卧龙地产	sh600173
美都能源	sh600175
中国巨石	sh600176
雅戈尔	sh600177
东安动力	sh600178
ST安通	sh600179
瑞茂通	sh600180
S*ST云大	sh600181
S佳通	sh600182
生益科技	sh600183
光电股份	sh600184
格力地产	sh600185
*ST莲花	sh600186
国中水务	sh600187
兖州煤业	sh600188
吉林森工	sh600189
锦州港	sh600190
华资实业	sh600191
长城电工	sh600192
ST创兴	sh600193
中牧股份	sh600195
复星医药	sh600196
伊力特	sh600197
大唐电信	sh600198
金种子酒	sh600199
江苏吴中	sh600200
生物股份	sh600201
哈空调	sh600202
福日电子	sh600203
S山东铝	sh600205
有研新材	sh600206
安彩高科	sh600207
新湖中宝	sh600208
ST罗顿	sh600209
紫江企业	sh600210
西藏药业	sh600211
江泉实业	sh600212
亚星客车	sh600213
长春经开	sh600215
浙江医药	sh600216
中再资环	sh600217
全柴动力	sh600218
南山铝业	sh600219
江苏阳光	sh600220
海航控股	sh600221
太龙药业	sh600222
鲁商发展	sh600223
天津松江	sh600225
瀚叶股份	sh600226
圣济堂	sh600227
ST昌九	sh600228
城市传媒	sh600229
沧州大化	sh600230
凌钢股份	sh600231
金鹰股份	sh600232
圆通速递	sh600233
*ST山水	sh600234
民丰特纸	sh600235
桂冠电力	sh600236
铜峰电子	sh600237
ST椰岛	sh600238
云南城投	sh600239
*ST华业	sh600240
时代万恒	sh600241
中昌数据	sh600242
青海华鼎	sh600243
万通地产	sh600246
ST成城	sh600247
延长化建	sh600248
两面针	sh600249
南纺股份	sh600250
冠农股份	sh600251
中恒集团	sh600252
天方药业	sh600253
梦舟股份	sh600255
广汇能源	sh600256
大湖股份	sh600257
首旅酒店	sh600258
广晟有色	sh600259
凯乐科技	sh600260
阳光照明	sh600261
北方股份	sh600262
路桥建设	sh600263
ST景谷	sh600265
北京城建	sh600266
海正药业	sh600267
国电南自	sh600268
赣粤高速	sh600269
外运发展	sh600270
航天信息	sh600271
开开实业	sh600272
嘉化能源	sh600273
ST昌鱼	sh600275
恒瑞医药	sh600276
亿利洁能	sh600277
东方创业	sh600278
重庆港九	sh600279
中央商场	sh600280
太化股份	sh600281
南钢股份	sh600282
钱江水利	sh600283
浦东建设	sh600284
羚锐制药	sh600285
S*ST国瓷	sh600286
江苏舜天	sh600287
大恒科技	sh600288
*ST信通	sh600289
华仪电气	sh600290
西水股份	sh600291
远达环保	sh600292
三峡新材	sh600293
鄂尔多斯	sh600295
S兰铝	sh600296
广汇汽车	sh600297
安琪酵母	sh600298
安迪苏	sh600299
维维股份	sh600300
ST南化	sh600301
标准股份	sh600302
曙光股份	sh600303
恒顺醋业	sh600305
商业城	sh600306
酒钢宏兴	sh600307
华泰股份	sh600308
万华化学	sh600309
桂东电力	sh600310
荣华实业	sh600311
平高电气	sh600312
农发种业	sh600313
上海家化	sh600315
洪都航空	sh600316
营口港	sh600317
新力金融	sh600318
亚星化学	sh600319
振华重工	sh600320
ST正源	sh600321
天房发展	sh600322
瀚蓝环境	sh600323
华发股份	sh600325
西藏天路	sh600326
大东方	sh600327
兰太实业	sh600328
中新药业	sh600329
天通股份	sh600330
宏达股份	sh600331
白云山	sh600332
长春燃气	sh600333
国机汽车	sh600335
澳柯玛	sh600336
美克家居	sh600337
西藏珠峰	sh600338
中油工程	sh600339
华夏幸福	sh600340
航天动力	sh600343
长江通信	sh600345
恒力石化	sh600346
阳泉煤业	sh600348
富通昭和	sh600349
山东高速	sh600350
亚宝药业	sh600351
浙江龙盛	sh600352
旭光股份	sh600353
敦煌种业	sh600354
精伦电子	sh600355
恒丰纸业	sh600356
承德钒钛	sh600357
国旅联合	sh600358
新农开发	sh600359
华微电子	sh600360
华联综超	sh600361
江西铜业	sh600362
联创光电	sh600363
通葡股份	sh600365
宁波韵升	sh600366
红星发展	sh600367
五洲交通	sh600368
西南证券	sh600369
三房巷	sh600370
万向德农	sh600371
中航电子	sh600372
中文传媒	sh600373
华菱星马	sh600375
首开股份	sh600376
宁沪高速	sh600377
昊华科技	sh600378
宝光股份	sh600379
健康元	sh600380
青海春天	sh600381
广东明珠	sh600382
金地集团	sh600383
*ST金泰	sh600385
北巴传媒	sh600386
海越能源	sh600387
龙净环保	sh600388
江山股份	sh600389
五矿资本	sh600390
航发科技	sh600391
盛和资源	sh600392
粤泰股份	sh600393
盘江股份	sh600395
*ST金山	sh600396
安源煤业	sh600397
海澜之家	sh600398
ST抚钢	sh600399
红豆股份	sh600400
退市海润	sh600401
大有能源	sh600403
动力源	sh600405
国电南瑞	sh600406
ST安泰	sh600408
三友化工	sh600409
华胜天成	sh600410
小商品城	sh600415
湘电股份	sh600416
江淮汽车	sh600418
天润乳业	sh600419
现代制药	sh600420
*ST仰帆	sh600421
昆药集团	sh600422
*ST柳化	sh600423
青松建化	sh600425
华鲁恒升	sh600426
中远海特	sh600428
三元股份	sh600429
退市吉恩	sh600432
XD冠豪高	sh600433
北方导航	sh600435
片仔癀	sh600436
通威股份	sh600438
瑞贝卡	sh600439
国机通用	sh600444
金证股份	sh600446
华纺股份	sh600448
宁夏建材	sh600449
涪陵电力	sh600452
博通股份	sh600455
宝钛股份	sh600456
时代新材	sh600458
贵研铂业	sh600459
士兰微	sh600460
洪城水业	sh600461
*ST九有	sh600462
空港股份	sh600463
蓝光发展	sh600466
好当家	sh600467
百利电气	sh600468
风神股份	sh600469
六国化工	sh600470
包头铝业	sh600472
华光股份	sh600475
湘邮科技	sh600476
杭萧钢构	sh600477
科力远	sh600478
千金药业	sh600479
凌云股份	sh600480
双良节能	sh600481
中国动力	sh600482
福能股份	sh600483
*ST信威	sh600485
扬农化工	sh600486
亨通光电	sh600487
天药股份	sh600488
中金黄金	sh600489
鹏欣资源	sh600490
龙元建设	sh600491
凤竹纺织	sh600493
晋西车轴	sh600495
精工钢构	sh600496
驰宏锌锗	sh600497
烽火通信	sh600498
科达洁能	sh600499
中化国际	sh600500
航天晨光	sh600501
安徽建工	sh600502
华丽家族	sh600503
西昌电力	sh600505
香梨股份	sh600506
方大特钢	sh600507
上海能源	sh600508
天富能源	sh600509
黑牡丹	sh600510
国药股份	sh600511
腾达建设	sh600512
联环药业	sh600513
海航基础	sh600515
方大炭素	sh600516
置信电气	sh600517
ST康美	sh600518
贵州茅台	sh600519
文一科技	sh600520
华海药业	sh600521
中天科技	sh600522
贵航股份	sh600523
长园集团	sh600525
*ST菲达	sh600526
江南高纤	sh600527
中铁工业	sh600528
山东药玻	sh600529
交大昂立	sh600530
豫光金铅	sh600531
宏达矿业	sh600532
栖霞建设	sh600533
天士力	sh600535
中国软件	sh600536
亿晶光电	sh600537
国发股份	sh600538
ST狮头	sh600539
新赛股份	sh600540
莫高股份	sh600543
卓郎智能	sh600545
山煤国际	sh600546
山东黄金	sh600547
深高速	sh600548
厦门钨业	sh600549
保变电气	sh600550
时代出版	sh600551
凯盛科技	sh600552
太行水泥	sh600553
海航创新	sh600555
ST慧球	sh600556
康缘药业	sh600557
大西洋	sh600558
老白干酒	sh600559
金自天正	sh600560
江西长运	sh600561
国睿科技	sh600562
法拉电子	sh600563
迪马股份	sh600565
济川药业	sh600566
山鹰纸业	sh600567
中珠医疗	sh600568
XD安阳钢	sh600569
恒生电子	sh600570
信雅达	sh600571
康恩贝	sh600572
惠泉啤酒	sh600573
皖江物流	sh600575
祥源文化	sh600576
精达股份	sh600577
京能电力	sh600578
天华院	sh600579
卧龙电驱	sh600580
八一钢铁	sh600581
天地科技	sh600582
海油工程	sh600583
长电科技	sh600584
海螺水泥	sh600585
金晶科技	sh600586
新华医疗	sh600587
用友网络	sh600588
广东榕泰	sh600589
泰豪科技	sh600590
*ST上航	sh600591
龙溪股份	sh600592
大连圣亚	sh600593
益佰制药	sh600594
*ST中孚	sh600595
新安股份	sh600596
光明乳业	sh600597
北大荒	sh600598
熊猫金控	sh600599
青岛啤酒	sh600600
方正科技	sh600601
云赛智联	sh600602
广汇物流	sh600603
市北高新	sh600604
汇通能源	sh600605
绿地控股	sh600606
上实医药	sh600607
ST沪科	sh600608
金杯汽车	sh600609
*ST毅达	sh600610
大众交通	sh600611
老凤祥	sh600612
神奇制药	sh600613
*ST鹏起	sh600614
ST丰华	sh600615
金枫酒业	sh600616
国新能源	sh600617
氯碱化工	sh600618
海立股份	sh600619
天宸股份	sh600620
华鑫股份	sh600621
光大嘉宝	sh600622
华谊集团	sh600623
复旦复华	sh600624
PT水仙	sh600625
申达股份	sh600626
上电股份	sh600627
新世界	sh600628
华建集团	sh600629
龙头股份	sh600630
百联股份	sh600631
华联商厦	sh600632
浙数文化	sh600633
*ST富控	sh600634
大众公用	sh600635
三爱富	sh600636
东方明珠	sh600637
新黄浦	sh600638
浦东金桥	sh600639
号百控股	sh600640
万业企业	sh600641
申能股份	sh600642
爱建集团	sh600643
乐山电力	sh600644
中源协和	sh600645
ST国嘉	sh600646
同达创业	sh600647
外高桥	sh600648
城投控股	sh600649
锦江投资	sh600650
飞乐音响	sh600651
*ST游久	sh600652
申华控股	sh600653
*ST中安	sh600654
豫园股份	sh600655
退市博元	sh600656
信达地产	sh600657
电子城	sh600658
*ST花雕	sh600659
福耀玻璃	sh600660
昂立教育	sh600661
强生控股	sh600662
陆家嘴	sh600663
哈药股份	sh600664
天地源	sh600665
*ST瑞德	sh600666
太极实业	sh600667
尖峰集团	sh600668
*ST鞍成	sh600669
*ST斯达	sh600670
天目药业	sh600671
*ST华圣	sh600672
东阳光	sh600673
川投能源	sh600674
中华企业	sh600675
交运股份	sh600676
航天通信	sh600677
四川金顶	sh600678
上海凤凰	sh600679
*ST上普	sh600680
百川能源	sh600681
南京新百	sh600682
京投发展	sh600683
珠江实业	sh600684
中船防务	sh600685
金龙汽车	sh600686
*ST刚泰	sh600687
上海石化	sh600688
上海三毛	sh600689
海尔智家	sh600690
阳煤化工	sh600691
亚通股份	sh600692
东百集团	sh600693
大商股份	sh600694
绿庭投资	sh600695
ST岩石	sh600696
欧亚集团	sh600697
*ST天雁	sh600698
均胜电子	sh600699
*ST数码	sh600700
*ST工新	sh600701
舍得酒业	sh600702
三安光电	sh600703
物产中大	sh600704
中航投资	sh600705
曲江文旅	sh600706
彩虹股份	sh600707
光明地产	sh600708
ST生态	sh600709
苏美达	sh600710
盛屯矿业	sh600711
南宁百货	sh600712
南京医药	sh600713
金瑞矿业	sh600714
文投控股	sh600715
凤凰股份	sh600716
天津港	sh600717
东软集团	sh600718
大连热电	sh600719
祁连山	sh600720
*ST百花	sh600721
金牛化工	sh600722
首商股份	sh600723
宁波富达	sh600724
ST云维	sh600725
*ST华源	sh600726
鲁北化工	sh600727
佳都科技	sh600728
重庆百货	sh600729
中国高科	sh600730
湖南海利	sh600731
ST新梅	sh600732
北汽蓝谷	sh600733
实达集团	sh600734
新华锦	sh600735
苏州高新	sh600736
中粮糖业	sh600737
兰州民百	sh600738
辽宁成大	sh600739
山西焦化	sh600740
华域汽车	sh600741
一汽富维	sh600742
华远地产	sh600743
华银电力	sh600744
闻泰科技	sh600745
江苏索普	sh600746
*ST大控	sh600747
上实发展	sh600748
西藏旅游	sh600749
江中药业	sh600750
海航科技	sh600751
*ST哈慈	sh600752
东方银星	sh600753
锦江股份	sh600754
厦门国贸	sh600755
浪潮软件	sh600756
长江传媒	sh600757
红阳能源	sh600758
洲际油气	sh600759
中航沈飞	sh600760
安徽合力	sh600761
S*ST金荔	sh600762
通策医疗	sh600763
中国海防	sh600764
中航重机	sh600765
园城黄金	sh600766
ST运盛	sh600767
宁波富邦	sh600768
祥龙电业	sh600769
综艺股份	sh600770
广誉远	sh600771
S*ST龙昌	sh600772
西藏城投	sh600773
汉商集团	sh600774
南京熊猫	sh600775
东方通信	sh600776
新潮能源	sh600777
友好集团	sh600778
水井坊	sh600779
通宝能源	sh600780
ST辅仁	sh600781
新钢股份	sh600782
鲁信创投	sh600783
鲁银投资	sh600784
新华百货	sh600785
东方锅炉	sh600786
中储股份	sh600787
*ST达曼	sh600788
鲁抗医药	sh600789
轻纺城	sh600790
京能置业	sh600791
云煤能源	sh600792
宜宾纸业	sh600793
保税科技	sh600794
国电电力	sh600795
钱江生化	sh600796
浙大网新	sh600797
宁波海运	sh600798
*ST龙科	sh600799
天津磁卡	sh600800
华新水泥	sh600801
福建水泥	sh600802
新奥股份	sh600803
鹏博士	sh600804
悦达投资	sh600805
退市昆机	sh600806
ST天业	sh600807
马钢股份	sh600808
山西汾酒	sh600809
神马股份	sh600810
东方集团	sh600811
华北制药	sh600812
ST鞍一工	sh600813
杭州解百	sh600814
*ST厦工	sh600815
安信信托	sh600816
ST宏盛	sh600817
中路股份	sh600818
耀皮玻璃	sh600819
隧道股份	sh600820
津劝业	sh600821
上海物贸	sh600822
世茂股份	sh600823
益民集团	sh600824
新华传媒	sh600825
兰生股份	sh600826
百联股份	sh600827
茂业商业	sh600828
人民同泰	sh600829
香溢融通	sh600830
广电网络	sh600831
东方明珠	sh600832
第一医药	sh600833
申通地铁	sh600834
上海机电	sh600835
界龙实业	sh600836
海通证券	sh600837
上海九百	sh600838
四川长虹	sh600839
新湖创业	sh600840
上柴股份	sh600841
中西药业	sh600842
上工申贝	sh600843
丹化科技	sh600844
宝信软件	sh600845
同济科技	sh600846
万里股份	sh600847
上海临港	sh600848
上药转换	sh600849
华东电脑	sh600850
海欣股份	sh600851
*ST中川	sh600852
龙建股份	sh600853
春兰股份	sh600854
航天长峰	sh600855
ST中天	sh600856
宁波中百	sh600857
银座股份	sh600858
王府井	sh600859
京城股份	sh600860
北京城乡	sh600861
中航高科	sh600862
内蒙华电	sh600863
哈投股份	sh600864
百大集团	sh600865
星湖科技	sh600866
通化东宝	sh600867
梅雁吉祥	sh600868
智慧能源	sh600869
ST厦华	sh600870
石化油服	sh600871
中炬高新	sh600872
梅花生物	sh600873
创业环保	sh600874
东方电气	sh600875
洛阳玻璃	sh600876
*ST嘉陵	sh600877
*ST北科	sh600878
航天电子	sh600879
博瑞传播	sh600880
亚泰集团	sh600881
妙可蓝多	sh600882
博闻科技	sh600883
杉杉股份	sh600884
宏发股份	sh600885
国投电力	sh600886
伊利股份	sh600887
新疆众和	sh600888
南京化纤	sh600889
中房股份	sh600890
*ST秋林	sh600891
大晟文化	sh600892
航发动力	sh600893
广日股份	sh600894
张江高科	sh600895
览海投资	sh600896
厦门空港	sh600897
国美通讯	sh600898
*ST信联	sh600899
长江电力	sh600900
江苏租赁	sh600901
贵州燃气	sh600903
无锡银行	sh600908
华安证券	sh600909
重庆燃气	sh600917
江苏银行	sh600919
杭州银行	sh600926
西安银行	sh600928
湖南盐业	sh600929
爱柯迪	sh600933
广西广电	sh600936
重庆建工	sh600939
东方证券	sh600958
江苏有线	sh600959
渤海汽车	sh600960
株冶集团	sh600961
国投中鲁	sh600962
岳阳林纸	sh600963
XD福成股	sh600965
博汇纸业	sh600966
内蒙一机	sh600967
海油发展	sh600968
郴电国际	sh600969
中材国际	sh600970
恒源煤电	sh600971
宝胜股份	sh600973
新五丰	sh600975
健民集团	sh600976
中国电影	sh600977
宜华生活	sh600978
广安爱众	sh600979
北矿科技	sh600980
汇鸿集团	sh600981
宁波热电	sh600982
惠而浦	sh600983
建设机械	sh600984
淮北矿业	sh600985
科达股份	sh600986
航民股份	sh600987
赤峰黄金	sh600988
宝丰能源	sh600989
四创电子	sh600990
广汽长丰	sh600991
贵绳股份	sh600992
马应龙	sh600993
文山电力	sh600995
贵广网络	sh600996
开滦股份	sh600997
九州通	sh600998
招商证券	sh600999
唐山港	sh601000
大同煤业	sh601001
晋亿实业	sh601002
柳钢股份	sh601003
重庆钢铁	sh601005
大秦铁路	sh601006
金陵饭店	sh601007
连云港	sh601008
南京银行	sh601009
文峰股份	sh601010
宝泰隆	sh601011
隆基股份	sh601012
陕西黑猫	sh601015
节能风电	sh601016
宁波港	sh601018
山东出版	sh601019
华钰矿业	sh601020
春秋航空	sh601021
玉龙股份	sh601028
一拖股份	sh601038
赛轮轮胎	sh601058
中信建投	sh601066
中铝国际	sh601068
西部黄金	sh601069
国芳集团	sh601086
中国神华	sh601088
中南传媒	sh601098
太平洋	sh601099
恒立液压	sh601100
昊华能源	sh601101
中国一重	sh601106
四川成渝	sh601107
财通证券	sh601108
中国国航	sh601111
华鼎股份	sh601113
三江购物	sh601116
中国化学	sh601117
海南橡胶	sh601118
四方股份	sh601126
小康股份	sh601127
